time,x,y,direction
1728370323.028586,-836,331,down
1728370323.0516155,-834,333,down
1728370323.0736098,-834,333,down
1728370323.0966074,-834,333,down
1728370323.1186123,-834,333,down
1728370323.155609,-834,333,down
1728370323.1856086,-834,333,down
1728370323.2166076,-834,333,down
1728370323.9357796,-834,333,up
1728370323.9576356,-834,333,up
1728370323.9736395,-834,333,up
1728370323.9889743,-834,333,up
1728370324.0184686,-834,333,up
1728370324.0484705,-834,333,up
1728370403.624508,-935,410,down
1728370403.640028,-933,413,down
1728370403.6570947,-932,414,down
1728370403.709193,-932,414,down
1728370403.739697,-932,414,down
1728370403.903744,-932,414,up
1728370403.9267602,-932,414,up
1728370403.9487605,-932,414,up
1728370403.9716763,-932,414,up
1728370403.9860785,-932,414,up
1728370404.0237586,-932,414,up
1728370404.0839212,-932,414,down
1728370404.0989304,-932,414,down
1728370404.1139278,-932,414,down
1728370404.1437428,-932,414,down
1728370416.3944705,-1191,501,down
1728370416.4074712,-1191,501,down
1728370416.4294713,-1191,501,down
1728370416.45947,-1191,501,down
1728370416.6174707,-1191,501,up
1728370416.6324718,-1191,501,up
1728370416.6464715,-1191,501,up
1728370416.6854713,-1191,501,up
1728370416.7454703,-1193,503,down
1728370416.759472,-1193,503,down
1728370416.7674704,-1193,503,down
1728370416.7744727,-1193,503,down
1728370416.8834777,-1203,503,up
1728370416.9404707,-1275,490,up
1728370417.0004728,-1461,454,up
